serial_number,device_model,customer_name,a4_mono,a4_colour,a3_mono,a3_colour,scans,reading_date
34X46874,iR 1643i II,EKEBERGIA PTY LTD/ CITY CENTRE SUPER SPAR,0,0,0,0,0,2026-09-09
34X46872,iR 1643i II,EKEBERGIA PTY LTD/ CITY CENTRE SUPER SPAR,0,0,0,0,0,2026-09-09
4MB23459,iR-ADV DX C3930i,ELTASHA GUEST HOUSE PTY LTD,2866,1854,0,0,1,2026-09-09
07SXB1AGA00001T,DUMMY DEVICE FOR C-EXV 10,ERGOFLEX 455 C C,0,0,0,0,0,2026-09-09
2GE10907,iR-ADV C3525i III,F MORATHI CHARTERED ACCOUNTANTS,178952,150856,5,4,7,2026-09-09
JPBBQB3018,DUMMY DEVICE FOR C-EXV 10,Forklif & Industrial Machine Rrepair,0,0,0,0,0,2026-09-09
CZBBT390PJ,DUMMY DEVICE FOR C-EXV 10,GOOD CHOICE SCHOOL OF MORALITY PTY LTD,0,0,0,0,0,2026-09-09
34X17375,iR 1643i II,GREYS ENDONI,8173,0,0,0,0,2026-09-09
35D30077,iR 1643iF II,GROBLERS MOTOR MECCA (PTY)LTD,8971,0,0,0,0,2026-09-09
2GE14953,iR-ADV C3525i III,HILLARY CONSTRUCTION PTY LTD,0,0,0,0,0,2026-09-09
YEJ06526,iR C3125i,HLAKANANG PRIMARY SCHOOL,85863,73649,0,4,13,2026-09-09
35D09404,iR 1643iF II,HLWEKISHANG WASTE REMOVAL AND PROJECTS,33975,0,0,0,0,2026-09-08
35D28100,iR 1643iF II,HNE HYDRAULICS ENGINEERING,15,0,0,0,0,2026-09-03
35D30074,iR 1643iF II,HNE HYDRAULICS ENGINEERING,55,0,0,0,0,2026-09-09
2TT24337,iR 1643iF,HONG SHAN METAL PTY LTD,90525,0,0,0,0,2026-09-08
4UX04522,i-SENSYS X 1440i,HOPEWELL MED INC,28304,0,0,0,0,2026-09-09
SCPLP10328,DUMMY DEVICE FOR C-EXV 10,HRRM GENERAL SUPPLY CC,0,0,0,0,0,2026-09-09
OACSBJEJ70002VX,DUMMY DEVICE FOR C-EXV 10,ISMAILESSOP BHORAT,0,0,0,0,0,2026-09-09
4MM00951,iR-ADV DX C3926i,JAN LOUIS BOERDERY MR222 (PTY)LTD,4065,6931,0,0,1,2026-09-08
CZRBTC90SD,DUMMY DEVICE FOR C-EXV 10,KARABO WILLIAM LEDWABA ATT,0,0,0,0,0,2026-09-09
2WP17848,iR-ADV 525i III,KATEKANI SECURITY SERVICES PTY LTD,302196,0,0,0,8,2026-09-09
4MM31584,iR-ADV DX C3926i,KATEKANI SECURITY SERVICES PTY LTD,14515,19463,0,0,1,2026-09-09
2ER20475,iR-ADV DX C257i,KATEKANI SECURITY SERVICES PTY LTD,117652,97745,42,43,4,2026-09-09
CNB1Q5V1YI,DUMMY DEVICE FOR C-EXV 10,KEM CONSTRUCTION,0,0,0,0,0,2026-09-09
4GV00812,iR-ADV DX 619i,KN MALEKA ATTORNEYS INC,297814,0,0,0,8,2026-09-09
CZRBS7115R,DUMMY DEVICE FOR C-EXV 10,KN MALEKA ATTORNEYS INC,0,0,0,0,0,2026-09-09
0ACSBJFK80005WR,DUMMY DEVICE FOR C-EXV 10,KWEST,0,0,0,0,0,2026-09-09
4MB10667,iR-ADV DX C3930i,LEKKAWAAN PTY LTD,7863,33032,0,0,4,2026-09-08
NPYA007447,LBP228x,LIG CONSULTING PTY LTD,1523,0,0,0,0,2026-09-08
4BU17244,iR-ADV DX C3830i,LIG CONSULTING PTY LTD,2043,10007,0,0,1,2026-09-09
4HX05227,iR-ADV DX C259i,LIMPOPO PROVINCE TAXI COMPANY,63048,62073,1,1,4,2026-09-08
SCNKL23849,DUMMY DEVICE FOR C-EXV 10,LITTLE KIDS KINGDOM,0,0,0,0,0,2026-09-09
4GK13744,iR-ADV DX 529i,LOUIS TRICHARDT ARDEIDSDIENSTE PTY LTD,116682,0,0,0,3,2026-09-08
2ER55181,iR-ADV DX C257i,LUFATINGE CONSTRUCTION,96710,11110,0,0,4,2026-09-09
CNCRQ8K23T,DUMMY DEVICE FOR C-EXV 10,LUFATINGE CONSTRUCTION,0,0,0,0,0,2026-09-09
34X17480,iR 1643i II,MACGYVER COMMERCIAL PTY LTD,108836,0,0,0,0,2026-09-09
2TT24340,iR 1643iF,MACGYVER COMMERCIAL PTY LTD,55581,0,0,0,0,2026-09-08
E82267E5N468017,DUMMY DEVICE FOR C-EXV 10,MADALA PHILLIP ATTORNEYS INC,0,0,0,0,0,2026-09-09
35D28091,iR 1643iF II,MADULA A LETILE TRADING,26734,0,0,0,0,2026-09-08
35D28256,iR 1643iF II,MADULA A LETILE TRADING,42191,0,0,0,0,2025-03-28
CNBGL63241,DUMMY DEVICE FOR C-EXV 10,MADULA A LETILE TRADING,0,0,0,0,0,2026-09-09
3VS83650,i-SENSYS X C1333i,MAGAGULA AND LEBEPE ATT,1446,619,0,0,0,2026-09-09
4MM01124,iR-ADV DX C3926i,MAKOPPAS NEST RIVER LODGE,18340,13004,0,0,1,2026-09-09
2WP17561,iR-ADV 525i III,MAKWELA AND MABOTJA ATTORNEYS,84670,0,0,0,3,2026-09-09
2PX10015,iR-ADV C356i III,MAKWELA AND MABOTJA ATTORNEYS,134721,75662,17,18,5,2026-09-09
3VS55511,i-SENSYS X C1333i,MALAKHIYA PROPERTY DEVELOPERS PTY LTD,2537,3710,0,0,0,2026-09-08
4BU17196,iR-ADV DX C3830i,Maloka Machaba,79014,145634,0,0,6,2026-09-09
3VR19587,i-SENSYS X C1333iF,Maloka Machaba,3072,10684,0,0,0,2026-09-08
22F19113,iR-ADV DX C3720i,Maloka Machaba,240030,23750,0,0,11,2026-09-09
CZRBTC90SB,DUMMY DEVICE FOR C-EXV 10,MAMABOLO T/A KGOHLISHI ATTORNEYS,0,0,0,0,0,2026-09-09
NL98FGBF06,DUMMY DEVICE FOR C-EXV 10,MAMPHAGO TRADING PTY LTD,0,0,0,0,0,2026-09-09
E81419B5F158970,DUMMY DEVICE FOR C-EXV 10,MANKWENG FLEET MANAGEMENT PTY LTD,0,0,0,0,0,2026-09-09
CNBBR8G0QZ,DUMMY DEVICE FOR C-EXV 10,MANSAPHASE PTY LTD,0,0,0,0,0,2026-09-09
3VS47104,i-SENSYS X C1333i,MANSAPHASE PTY LTD,2263,2436,0,0,0,2026-09-08
4MM56088,iR-ADV DX C3926i,MANTOPITOPI FUNERALS,80,7509,0,0,1,2026-09-01
RME30777,imageRUNNER C1325iF,MAPHUNGUBYE TRAVELING AGENCY PTY LTD,70214,52174,0,1,4,2026-09-09
3GM10197,iR-ADV DX C3830i,MAPIMPANE DAYCARE,160561,19848,0,0,8,2026-09-09
4MM42584,iR-ADV DX C3926i,Marindi Funerals,4765,56981,0,0,3,2026-09-09
4MM43319,iR-ADV DX C3926i,Marindi Funerals,13482,28072,0,0,3,2026-09-08
35D13532,iR 1643iF II,MATHEBULA ARRORNEYS,26135,0,0,0,0,2026-09-09
2ER22397,iR-ADV DX C257i,MATHOSIM TRIMMING AND UPHOLSTERY CC,322528,105843,5,5,9,2025-10-26
CNC1Q2LO4R,DUMMY DEVICE FOR C-EXV 10,MAZIBUKU SECURITY AND PROJECTS CC,0,0,0,0,0,2026-09-09
CZBBQ800M4,DUMMY DEVICE FOR C-EXV 10,MAZIBUKU SECURITY AND PROJECTS CC,0,0,0,0,0,2026-09-09
34X17568,iR 1643i II,MB MABIDI ATTORNEYS INC,94218,0,0,0,0,2026-09-08
CNC1Q2L04R,DUMMY DEVICE FOR C-EXV 10,MDMAM TRADING CC,0,0,0,0,0,2026-09-09
RME32853,imageRUNNER C1325iF,MERIDA FINANCIAL SERVICES,97053,4732,0,0,3,2026-08-26
YEJ06531,imageRUNNER C1325iF,MERIDA FINANCIAL SERVICES,103876,17495,0,0,8,2026-09-09
CZBBQ800M5,DUMMY DEVICE FOR C-EXV 10,MG FUNERAL SERVICES,0,0,0,0,0,2026-09-09
YEJ06536,iR C3125i,MHFIRIR BUSINESS ENTERPRISES CC,54983,12068,3,0,5,2024-12-18
CN1CAMYO8N,DUMMY DEVICE FOR C-EXV 10,MICHAEL RAPHELA,0,0,0,0,0,2026-09-09
23A06710,iR-ADV DX 527i,MIGHTY SCRAPYARD,147272,0,0,0,4,2026-09-09
2VF12774,iR2630i,MIGHTY TACTICAL REACTION PTY LTD,180899,30,0,0,4,2026-09-09
E82267M5N565324,DUMMY DEVICE FOR C-EXV 10,MOHUBA ATT,0,0,0,0,0,2026-09-09
CZRBQCF04W,DUMMY DEVICE FOR C-EXV 10,MOKGALABONE ATTORNEYS,0,0,0,0,0,2026-09-09
4MM21552,iR-ADV DX C3926i,MOLEFE MACHAKA ATTORNEYS,165814,61019,0,0,7,2026-09-09
4QC06321,iR 2930i,MOLESTSI COMMUNITY MEDIA,49342,53,0,0,2,2026-09-09
4MM01557,iR-ADV DX C3926i,MT RAMABALA ATTORNEYS,109405,107119,0,0,4,2026-09-09
4MM31311,iR-ADV DX C3926i,MUILA MINERALS PTY LTD,319,1116,0,0,1,2026-09-01
CZBBQ800MC,DUMMY DEVICE FOR C-EXV 10,MUILA MINERALS PTY LTD,0,0,0,0,0,2026-09-09
4MB42632,iR-ADV DX C3930i,Mums Bussiness Enterprise,4884,1317,0,0,1,2026-09-09
